track_id,track_name,track_album,artist_id,artist_name,track_duration,genres,user_id,user_name
5OjCsHeByDYEGxMrb1z8KQ,Flying Whales,From Mars to Sirius,['0GDGKpJFhVpcjIGF8N6Ewt'],['Gojira'],464453,"['alternative metal', 'progressive groove metal', 'groove metal', 'metal', 'french metal', 'french death metal', 'nu metal']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
6u3RM9P9endDKe98nFMTVH,Orgânico,Sem Gelo,['3hQeREHiEs8BmpWUGZxwyP'],['Noção de Nada'],184960,['brazilian hardcore'],t8c4z6vjpybbgqaeshtoctq4x,Vitor
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,1989 (Deluxe),['06HL4z0CvFAxyc27GXpf02'],['Taylor Swift'],231826,['pop'],suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
6kZqCqD1r08sJAQ1TjuEpM,Never Meant,American Football,['5FwydyGVcsQllnM4xM6jw4'],['American Football'],268333,"['math rock', 'emo', 'alternative emo', 'dreamo', 'midwest emo']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
5dgyKLZKxfreuDaDQwEj9U,Is This Thing On?,Nothing Feels Good,['5li5GfWFVl73vu7r2bGitu'],['The Promise Ring'],217573,"['emo', 'milwaukee indie', 'emo punk', 'midwest emo']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
2h7w0KHwHbx4WbG6WxjO7U,Pacific State,ESP: The 808 State Effect,['7hFdUW64G4iU1tz46ITRfN'],['808 State'],351400,"['rave', 'intelligent dance music', 'classic house', 'acid house', 'madchester', 'techno']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
7GYTUJRGpNXjmtsfgBHGcr,Cada Acidente,sua alegria foi cancelada,"['2sFXe6NbmT3k7Qy4N8fE7f', '3Ujv6sa60JRiaxS8RVuNOj']","['Fresno', 'Tuyo']",245916,"['indie curitibano', 'brazilian emo', 'brazilian rock', 'novo rock gaucho', 'nova mpb', 'pop rock brasileiro']",fabiozotesso,Fabio Zotesso
4NFD9ea0uH0MtoC30yNYE1,West Coast Love,The Juice: Vol. II,['12trz2INGglrKMzLmg0y2C'],['Emotional Oranges'],215386,['indie r&b'],31lpdr2gqa2xrig77zktc66z66py,raposakaique
7AsFFiQEozWPh4BiHTTwkN,Deixa Acontecer,Virou Religião,['7yQrcdkLdBAkV7yY9fF2Hw'],['Grupo Revelação'],253506,"['pagode novo', 'pagode']",31lpdr2gqa2xrig77zktc66z66py,raposakaique
119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],"['34EP7KEpOjXcM2TCat1ISk', '4VmEWwd8y9MCLwexFMdpwt', '2yQf6b8hxahZaT5dHlWaB1', '4OBbOrkD4geIjOLrICN3wO', '4QTIR7KM0trauXspUNduhh']","['Wu-Tang Clan', 'Method Man', 'Raekwon', 'Inspectah Deck', 'Buddha Monk']",252186,"['east coast hip hop', 'hip hop', 'wu fam', 'rap', 'gangster rap', 'hardcore hip hop']",t8c4z6vjpybbgqaeshtoctq4x,Vitor
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Rumours (Super Deluxe),['08GQAI4eElDnROBrJRGE0X'],['Fleetwood Mac'],270213,"['album rock', 'yacht rock', 'rock', 'soft rock', 'classic rock']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Thriller 25 Super Deluxe Edition,['3fMbdgg4jU18AjLCKBhRSm'],['Michael Jackson'],293826,"['r&b', 'soul']",suqj6g68oug3i0vw4nuebfrto,Pedro Henrique Fonseca
56bWd9eEu5xsIWETPBIA8k,Inaraí,Katinguelê Na Área,['3gdaj3L0OqxdaVoxnI7ZGu'],['Katinguelê'],234360,"['samba paulista', 'pagode novo', 'axe', 'pagode', 'roda de samba']",315rhevgnvopu4fil2urulqlg6zm,Marcos
